Question,Recommendation 1,Recommendation 2,Recommendation 3,Drug Avoid,Reasoning
39 year-old male with moderate to severe extensive ulcerative colitis who had malignant melanoma which was treated 3 years ago,Vedolizumab,Ustekinumab,,,Anti-TNFs and JAK inhs have associations/concerns with malignancies
52 year-old woman with moderate to severe distal ulcerative colitis that had a successful induction with vedolizumab. What would be the maintenance therapy?,Vedolizumab,Any other biologic but not ideal,,,Some maintenance biologic as induction biologic
24 year-old man with moderate to severe extensive ulcerative colitis previously in clinical remission with infliximab develops loss of response due to antibody formation.,Adalimumab,Other anti-TNF,,,Immunogenic failure. Can consider changing to another anti-TNF class
44 year-old woman with moderate to severe extensive ulcerative colitis and rheumatoid arthritis.,Infliximab,Adalimumab,Tofacitinib ,,Dual use
55 year-old man with moderate to severe extensive ulcerative colitis who avlues convenience and limited time spent in hospital,Ustekinumab,Adalimumab,Tofacitinib ,,Subcutaneous and oral options
"60 year-old woman with severe ulcerative colitis that has loss response to anti-TNF, vedolizumab and ustekinumab",Upadacitinib,Tofacitinib,Dual biologics,,Last line agents. Dual biologics use is possible.
36 year-old man with moderate to severe extensive ulcerative colitis and spondylarthristis.,Infliximab,Tofacitinib,,,Dual indications
42 year-old woman with moderate ulcerative colitis on azathioprine and not responding to therapy,Anti-TNF,,,,Combination therapy
53 year-old man with moderate to severe extensive ulcerative colitis and low albumin levels,Tofacitinib,Vedolizumab,Ustekinumab,,Low serum albumin associated with poorer resonse to anti-TNFs (especially Infliximab)
42 year-old woman with severe ulcerative colitis and rare fistulating disease,Infliximab,Adalimumab,,,No real data on ulcerative colitis - related fistula
68 year-old man with extensive moderate to severe ulcerative colitis who has prostate cancer which has been treated 5 years ago.,Vedolizumab,Ustekinumab,,,Anti-TNFs and JAK inhs have associations/concerns with malignancies
25 year-old man with extensive moderate to severe ulcerative colitis and primary sclerosing cholangitis with decompensated cirrhosis.,Vedolizumab,Ustekinumab,,,Low/No evidence here
48 year-old woman with distal moderate to severe ulcerative colitis who prioritizes a rapid response to treatment.,Infliximab,Tofacitinib,,,Infliximab and Tofacitinib have the quickest response
36 year-old woman with moderate to severe ulcerative colitis who has lost response to tofacitinib.,Infliximab,Ustekinumab,,,VDZ doesn’t do well as 2nd line
18 year-old man with moderate to severe extensive ulcerative colitis and pyoderma gangrenosum.,Infliximab,Adalimumab,,,Dual indications
58 year-old woman with moderate to severe distal ulcerative colitis and optic neuritis.,Vedolizumab,Ustekinumab,,,Anti-TNFs are contraindicated
55 year-old man with moderate to severe extensive ulcerative colitis and colonic polyps with high grade dysplasia found 2 years ago.,Vedolizumab,Ustekinumab,,,?? No idea
27 year-old woman with moderate to severe extensive ulcerative colitis who prefers medication with oral formulation.,Tofacitinib,,,,Only oral formulation
41 year-old man with moderate to severe distal ulcerative colitis and alocpecia areata.,Tofacitinib,,,,JAK inhibitors can be used for alopecia areata
38 year-old woman with moderate to severe ulcerative colitis and pulmonary tuberculosis which was treated 2 years ago.,Vedolizumab,Ustekinumab,,,Anti-TNFs and JAK inhs have associations/concerns with infections
